Order ID,Order Date,Ship Date,Customer ID,Segment,State,City,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
152156-1798-1,8-Nov-20,11-Nov-20,CG-12520,Consumer,Karnataka,Bagalkot,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,261.96,2,0,41.9136
152156-0454-2,8-Nov-20,11-Nov-20,CG-12520,Consumer,Karnataka,Bagalkot,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94,3,0,219.582
138688-0240-3,12-Jun-20,16-Jun-20,DV-13045,Corporate,Bihar,Araria,OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,14.62,2,0,6.8714
108966-0577-4,11-Oct-19,18-Oct-19,SO-20335,Consumer,Delhi,Delhi,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,957.5775,5,0.45,-383.031
108966-0760-5,11-Oct-19,18-Oct-19,SO-20335,Consumer,Delhi,Delhi,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,22.368,2,0.2,2.5164
115812-1487-6,9-Jun-18,14-Jun-18,BH-11710,Consumer,Bihar,Araria,FUR-FU-10001487,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,7,0,14.1694
115812-2833-7,9-Jun-18,14-Jun-18,BH-11710,Consumer,Bihar,Araria,OFF-AR-10002833,Office Supplies,Art,Newell 322,7.28,4,0,1.9656
115812-2275-8,9-Jun-18,14-Jun-18,BH-11710,Consumer,Bihar,Araria,TEC-PH-10002275,Technology,Phones,Mitel 5320 IP Phone VoIP phone,907.152,6,0.2,90.7152
115812-3910-9,9-Jun-18,14-Jun-18,BH-11710,Consumer,Bihar,Araria,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,18.504,3,0.2,5.7825
115812-2892-10,9-Jun-18,14-Jun-18,BH-11710,Consumer,Bihar,Araria,OFF-AP-10002892,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,114.9,5,0,34.47
115812-1539-11,9-Jun-18,14-Jun-18,BH-11710,Consumer,Bihar,Araria,FUR-TA-10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables,1706.184,9,0.2,85.3092
115812-2033-12,9-Jun-18,14-Jun-18,BH-11710,Consumer,Bihar,Araria,TEC-PH-10002033,Technology,Phones,Konftel 250 Conference phone - Charcoal black,911.424,4,0.2,68.3568
114412-2365-13,15-Apr-21,20-Apr-21,AA-10480,Consumer,Uttar Pradesh,Agra,OFF-PA-10002365,Office Supplies,Paper,Xerox 1967,15.552,3,0.2,5.4432
161389-3656-14,5-Dec-20,10-Dec-20,IM-15070,Consumer,Haryana,Jind,OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,407.976,3,0.2,132.5922
118983-2311-15,22-Nov-19,26-Nov-19,HP-14815,Home Office,Daman & Diu,Diu,OFF-AP-10002311,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81,5,0.8,-123.858
118983-0756-16,22-Nov-19,26-Nov-19,HP-14815,Home Office,Daman & Diu,Diu,OFF-BI-10000756,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,2.544,3,0.8,-3.816
105893-4186-17,11-Nov-18,18-Nov-18,PK-19075,Consumer,Jammu & Kashmir,Leh (Ladakh),OFF-ST-10004186,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88,6,0,13.3176
167164-0107-18,13-May-18,15-May-18,AG-10270,Consumer,Delhi,Delhi,OFF-ST-10000107,Office Supplies,Storage,Fellowes Super Stor/Drawer,55.5,2,0,9.99
143336-3056-19,27-Aug-18,1-Sep-18,ZD-21925,Consumer,Bihar,Aurangabad,OFF-AR-10003056,Office Supplies,Art,Newell 341,8.56,2,0,2.4824
143336-1949-20,27-Aug-18,1-Sep-18,ZD-21925,Consumer,Bihar,Aurangabad,TEC-PH-10001949,Technology,Phones,Cisco SPA 501G IP Phone,213.48,3,0.2,16.011
143336-2215-21,27-Aug-18,1-Sep-18,ZD-21925,Consumer,Bihar,Aurangabad,OFF-BI-10002215,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",22.72,4,0.2,7.384
137330-0246-22,9-Dec-20,13-Dec-20,KB-16585,Corporate,Pondicherry,Pondicherry,OFF-AR-10000246,Office Supplies,Art,Newell 318,19.46,7,0,5.0596
137330-1492-23,9-Dec-20,13-Dec-20,KB-16585,Corporate,Pondicherry,Pondicherry,OFF-AP-10001492,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",60.34,7,0,15.6884
156909-2774-24,16-Jul-21,18-Jul-21,SF-20065,Consumer,Assam,Hailakandi,FUR-CH-10002774,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",71.372,2,0.3,-1.0196
106320-0577-25,25-Sep-19,30-Sep-19,EB-13870,Consumer,Delhi,Delhi,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,1044.63,3,0,240.2649
121755-1634-26,16-Jan-20,20-Jan-20,EH-13945,Consumer,Bihar,Araria,OFF-BI-10001634,Office Supplies,Binders,Wilson Jones Active Use Binders,11.648,2,0.2,4.2224
121755-3027-27,16-Jan-20,20-Jan-20,EH-13945,Consumer,Bihar,Araria,TEC-AC-10003027,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,90.57,3,0,11.7741
150630-4834-28,17-Sep-19,21-Sep-19,TB-21520,Consumer,Assam,Hailakandi,FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43,7,0.5,-1665.0522
150630-0474-29,17-Sep-19,21-Sep-19,TB-21520,Consumer,Assam,Hailakandi,OFF-BI-10000474,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,9.618,2,0.7,-7.0532
150630-4848-30,17-Sep-19,21-Sep-19,TB-21520,Consumer,Assam,Hailakandi,FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.2,3,0.2,15.525
150630-1509-31,17-Sep-19,21-Sep-19,TB-21520,Consumer,Assam,Hailakandi,OFF-EN-10001509,Office Supplies,Envelopes,Poly String Tie Envelopes,3.264,2,0.2,1.1016
150630-4042-32,17-Sep-19,21-Sep-19,TB-21520,Consumer,Assam,Hailakandi,OFF-AR-10004042,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.304,6,0.2,9.7092
